sentiment,Content
surprise,"Phone went in the toilet   The truth is I'm surprised is hasn't happen sooner!"
happiness,"photo session + mother-daughters bonding session = happy me"
happiness,"Picked up a Jesse Lacey/Kevin Devine/Grace Read bootleg off the net from their acoustic tour, it's really good"
happiness,"Picture or it never happened."
happiness,"picture to burn - taylor swift!    great song!"
happiness,"Pinkberry"
surprise,"Pizza arrived but driver didn't have change for a $50, guess thats why they deliver Pizza, too stupid to give change. Still got Pizza"
happiness,"PJ days are the best days"
surprise,"Plain White T's and Sara Bareilles...can life get more amazing"
happiness,"Planning to install Windows 7 tomorrow, so probably no new posts for another few days at least"
happiness,"Played  Friendly Gm today(Bulgaria). Def. is on pt., offensively, still working on timing.  Israel on Sun. Gotta cut 2 more players."
enthusiasm,"Played An.World, played Flashback, played Starcon 2, played Fallout, played every Psygnosis game out for the Amiga and the ST"
happiness,"played okami for 14 hours today"
happiness,"Played some Mythic Brawl in order to get a good screenshot. Instead, I got a Perfection!"
happiness,"playing 20 questions with Chris"
surprise,"playing board games!!!"
happiness,"Playing d.j in Ray's ride! On our way to have some delish sushi"
happiness,"playing guitar hero, waiting for Abby to text me after prom"
surprise,"Playing hooky from work again so we can go see UP. I hope we get along."
happiness,"Playing pacman on itouch!  lol"
happiness,"Playing with my puppy"
happiness,"Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that"
happiness,"please check out www.mysweetebony.com and lmk what you think  ... my first paysite ... post up your site too!"
surprise,"PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don't see anything close anytime soon."
surprise,"please ignore cheesey music"
happiness,"please nick, say happy birthday to me. my birthday was yesterday!"
happiness,"Please wish your wife Evelyn a Happy Mother's Day for me and tell her I hope that she has a wonderful day. Spoil her today."
surprise,"Pleaseeee im really tired and stuck in waiting room for 2 hours  midnight in england. hw much money do u get a mnth?"
surprise,"plus, look at all the orbs! you either have ghosts or you need to clean the mirror"
surprise,"plz dont fall in love with tokyo and never come home"
enthusiasm,"Polly Scattergood's new single out today! Download the Please Don't Touch EP on iTunes, it's ace!"
happiness,"pool party at sherraton n brodi had  a blast! the friends made the evening bbqd at home with great conversation  funky n lifted day!!"
relief,"poor me, JUST going to nap"
relief,"Popping out to see SAMSON AND DELILAH this arvo, hear it is good"
happiness,"possessed beyond certainty that she has made the rite decision"
surprise,"possibly! NyQuil will get me through tonight though  Doctors Monday! (I hope for the swine, just so I can be on google maps)..jk"
relief,"Praise the advantages of todays copy protection: can not run my fresh installed 3D app, since the licensing system don??????t let me."
relief,"praying to be humble is always dangerous, He will answer you  (God gives grace ...)"
relief,"preparing to visit a friend  And we're gonna watch Twilight! Yay!"
enthusiasm,"Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY"
surprise,"pretty bummed that it had to rain last nite! oh well  still had fun! Goldfish is highly overrated!"
happiness,"Pretty good!!! I think I overdid the gym yesterday... other than that just working"
happiness,"Pretty happy with how things have changed over the past 2 months...definitely for the best"
relief,"pretty tired after a nice full day."
enthusiasm,"PRIDE next weekend in Long Beach!!"
happiness,"Prism is the MY nEW wEBTOP.. mozilla labs rocks my world..."
happiness,"probably one of the best surprises ever...you really are amazing"
relief,"probably something to do with FriendFeed"
happiness,"Probably the best birthday I've ever had. I got to spend it with all my favorite people."
surprise,"professional development is my favorite way to spend a beautiful monday afternoon....NOT!"
happiness,"Prolly going to Jamba Juice in thirty minutes , shop for awhile then hit the airport and see my daddddd."
happiness,"Prom was awesome."
happiness,"Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic"
happiness,"Proud 2 B a trekkie . The new Star Trek movie RUUULLZZZ"
happiness,"proud of the ceviche and bellinis turning out so well and LOVING the smell of fresh flowers in the house"
happiness,"Ps Brian just announced his message title, &quot;what is in you will flow from you&quot; My friend replied &quot;cheescake??&quot; Ha!"
relief,"ps liam we're going to look like tools on the train to the city  hopefully we can scare some old people"
happiness,"Ps... I got Ben Button today... completes my Best Picture noms....got all 5 now. It was a GREAT year!!"
surprise,"Pshh i dont have it"
surprise,"pulled from interesting meeting to an urgent support request"
happiness,"Pulled out the breakfast sausage for Mothers Day. Hopefully the baby sleeps in"
happiness,"PUSH was amazing"
happiness,"putting 3 new consultants to work this week. it's a good feeling!  congrats on your offers"
enthusiasm,"Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy"
happiness,"Quite a few. Peacocks and Oceanographer's Choice are my new favorites to play"
happiness,"R. &lt"
happiness,"Ra'anana is a wonderful place"
happiness,"Rachmaninoff makes me a happy panda."
happiness,"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D"
surprise,"Rain  oh well it's still Friday!!"
relief,"Rain makes for a good study day  almost done!!"
surprise,"rain, rain, rain. wow i actually LOVE the rain...."
surprise,"Raj wasn't on the list.  So Scoop or Bandit."
happiness,"ran 5 miles, went to the gym &amp; woke up Ur great kids....dependable Danny  hope it has been great already"
happiness,"random night of fun  now im chillin at home.. happy mothers day!"
happiness,"rather excited about my hospital placement starting on monday. I get to give needles and take blood"
surprise,"Rather jealous of my football club who have all gone to Portugal on tour today. They're even playing a Sporting Lisbon veterans side."
happiness,"re sore back and legs: well at least you had a good time. epson salt works good usually.  DM me if need more help"
happiness,"Re-direct that energy into creating men's jewelry.    And frequent walks too."
relief,"re-reading 6th Harry Potter, did dishes, mended a cushion on the patio sofa, &amp; fixed one of the outdoor barstools. An accomplished Sunday"
enthusiasm,"re: Edwards I hope so!"
surprise,"re:firmware. Heh, just a coincidence. I didn't do anything. Maybe the SW guys heard you?"
happiness,"Reached Bangalore!! Now gotta hunt for rooms"
surprise,"read it! lucky, why are you getting a new phone?"
happiness,"Reading a book instead of revising. Thinking about lunch. Heart rate is 56 bpm... just in case you wanted to know"
happiness,"Reading my book in the sunshine, goona be a good day"
happiness,"Reading, cryin, reading, laughin...  Enjoying the ride while being enlightened and inspired by letters to a young sister!!  Thx Hill."
happiness,"ready for a day full of His presence  i'm expecting the best!"
enthusiasm,"Ready for Eastenders - going to be a good one!! .. Then the last BGT Semi Final  .. FINAL tomorrow night though  Exciting stuff..."
surprise,"Ready for tomorrow. My mommy will get her gift for Mother's Day. Hope she LOVES it!"
happiness,"Ready to celebrate the weekend! oh wait, I have 15 more minutes"
happiness,"Ready to crash!...had a great day and a FUN night! I couldn't ask for anything more  Night!"
enthusiasm,"ready to go home"
happiness,"ready to go to Milan  see ya'll this evening.."
happiness,"ready to go to sleep... its too hot in my room, yey first time sleeping in that huge bed  excited!"
relief,"ready with learnin today!!! .. and now its twilight time"
enthusiasm,"Ready! Its raining in Miami though  Go Cavs right?"
relief,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night."
surprise,"really cant be bothered going to work tonigh, its too nice to be stuck inside"
happiness,"Really enjoying Drown in My Own Tears"
happiness,"Really laughing out loud! Seeing a limo in front of MacDonalds is just to funny!"
happiness,"really really getting excited!"
enthusiasm,"really really wants to go and see Coraline."
happiness,"really was the best night ever"
surprise,"Really!"
surprise,"Really! No even a little bit of #pane"
surprise,"REALLY?  COOL!"
surprise,"Really? A good distraction now. I'll check it right. now."
surprise,"really? and yeah it's too soon"
surprise,"really? Awesome!"
surprise,"really? awesome! we love it...and I work at buckhead church too. I love it all around."
surprise,"Really? Awesome..Im mad cuz my followers r goin down  *Take A Breath*"
surprise,"really? cuz KC.com said it was releasd 24/4 here n the main station doesn't even hav it"
happiness,"Really? I can only go in 1Direction at a time?! UGh!  Gotta take authority over the time 2day!  Say hello! Don't be a stranger! BeBlessed!"
happiness,"really?!?! It looks like its going to rain here but its all just gray.... La is a bummer sumtimes"
surprise,"Really?? I feel special"
surprise,"recapping on britains got talent. britain seems more talented than america"
relief,"Recovering from an Italian cruise in the Mediterenean"
happiness,"recovering from mexican fiesta. Had a bit too much of a good time!"
relief,"Recovery! The secret weapon of a Dba  glad 2 hav my files back"
relief,"red eye huh?   yikes....get back safe   missin ya punk"
surprise,"Red? wtf happened to dark blue + black stripes?"
happiness,"Reds win! Great end to a great day"
happiness,"regarde les tant attendues photographies"
relief,"Reinstalled Ubuntu on my laptop, this time using ext4; the new filesystem. System boot time, from GRUB to full operability: 30 seconds"
relief,"relax, relax and relax a bit more  bbq today maybe? How about you?"
relief,"Relaxin after a fun day"
relief,"Relaxing"
relief,"Relaxing after a busy week and a tedious Saturday . . ."
happiness,"relaxing night at home with best people"
happiness,"relaxing...enjoying the evening"
enthusiasm,"Reminders are good! Speaking of which, we haven't had a Posture Check in awhile....."
relief,"Reporting form IIT Delhi : Rains just started here..Picking up speed...Providing welcome relief to all hostels!!"
enthusiasm,"responding to more questions at Thou Shall Blog! I appreciate this community."
happiness,"Rest earlier is good for your health. So, I say good nite to you all!"
enthusiasm,"Rest then. It's your day off!"
happiness,"Restoring new iTouch 2.  Excited to use it. Yeeeeeeeee. Goodbye iTouch 1."
surprise,"Revamping my recording studio today and adding some nice high end outboard gear...very exited!"
happiness,"reviews done, 30 new sentences, 100+ iknow done wow on a role"
relief,"Revision continues. Getting so bored and tired. I can't wait to get out and do interesting things. Only a week and half left though"
happiness,"Rey Mysterio is so awesome"
happiness,"Right I now need breakfast. Let's see if I can make it while Tweeting ;-) What am I thinking, I'm a bloke, multitasking is out lol"
happiness,"right now if be happy to win a packet of salt n vinegar crisps  or a new exhaust as mine fell off on the A1 !"
happiness,"right on!  i'm 29 myself... i turn 30 in october. i think that pretty much makes us awesome"
surprise,"Right; however, you neglect to mention that younger women are &quot;gold diggers&quot; or &quot;trophies.&quot; Isn't patriarchy grand?"
enthusiasm,"right..  making compromises is what kills us!"
surprise,"Rise and shine  Time to get prettifide."
happiness,"Roast was yummy, I think mum was impressed!!!"
surprise,"rock pooling.  Can't believe I get paid for this!"
surprise,"Rocket surgery hey? HAHA I thought it was rocket SCIENCE? Oh.. is that all.. I knew that I swear. Thank you"
happiness,"Rockstar photographer shoot went great tonight. A little different than the usual stuff - very nice."
surprise,"ROFL - me too."
happiness,"rofl that's what we like to hear"
surprise,"rofl. room is too small to dance"
relief,"Roommate gone. All of Moyer away at the Ball. I'm definitely going to be naked for the next 11 hours"
relief,"Roommate is sssnoring :/ And my throat is so dry"
happiness,"rosales is cool"
happiness,"Rose Romance is released here on Thursday, gonna get me some BPs"
surprise,"Rove  going to be cut short though to wash my hair so I can watch Family Guy and Harpers Island"
happiness,"Roxy was right. This palmade stuffs pretty cool"
happiness,"rsvp-ed qiuqiu's wedding invitation"
happiness,"RUDE! going cabin drinking without lizlove!  but im am proud momma that you finally learned how to properly TWIT"
surprise,"Running around doing errands on my last day in Charlotte  I would much rather be shopping!!"
enthusiasm,"Rushed to get to ups and they close at 7... I got here at 705 after making a wrong turn"
happiness,"Ryan Stiles is still the funniest man ever. Got some great news and some not great news tonight. So happy I could burst"
surprise,"sad about young love coming to an end  They were sooo cute together!"
surprise,"Sad because A Skylit Drive's new songs don't sound as good as I had hoped."
surprise,"sadly  brother told me there are no skateparks where he lives. BUMMER!"
happiness,"sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys"
surprise,"Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years"
relief,"sadly, I don't   hehe"
happiness,"safer to say that your cube is now a sphere ... but roll with it buddy ... it is an awesome time ... esp the 1st one"
happiness,"salad stuff, some chillis, whatever my horti mate gives me really, think it will be fun to do"
happiness,"Same here  Mmmm... Macrina Bakery."
happiness,"Same here - coffee is the lifeline to all things good"
happiness,"Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I'm excited to record that on Wednesday"
happiness,"same here, as long as i get to watch it somewhere i'm happy"
happiness,"Same here, having a nice, quiet Sunday"
happiness,"same to you bud. Kudos on your hardcore gym training, it's a great lifechanging experience, keep it up!!!"
surprise,"samee well i aint a man i am a girl obv nd i am 14 lol   i aint no1 special or not famous or rich  wish to be tho xx"
happiness,"SANJAYA FOREVER! HAHAHAHAHAHA!!!!"
enthusiasm,"sape ada paypal USD70 untuk dijual? offer me your best rate.."
relief,"Sasha's helped too, of course"
happiness,"Saturday is Partytiiime"
happiness,"saw a whole lot of your stuff at Africa Joy Casterbridge Farm, White River in Mpumalanga.was quite thrilled to see ur stuff"
happiness,"Saw Fiddler with Topol! The girls LOOOOVED it!  Next month... Annie! 7th row! *can't wait* Trip 2 the music store for Fiddler sheet music."
happiness,"saw Hannah Montana Movie today!! was the best!!!!!! was AWESOMEEEEEE!!!!!!  Hannah  and Miley RockS! lol"
surprise,"saw it yesterday. Pretty good."
relief,"saw kim kardashian on robertson today, ate a hella good sandwich at bay cities in santa monica, and just downloaded a lot of new songs"
happiness,"Saw Xmen Origins on Sat! By far the BEST Xmen movie! AMAZING!!!"
relief,"Saw you on SNL with your diploma..Congrats. You must be overjoyed.   Now I am finally going to bed..NITE"
happiness,"saw you today! So BEAUTIFUL!! You looked so good! Glad to see the wonderful turnout!"
happiness,"saw your pics, so awesome!"
surprise,"say it isn't so!"
happiness,"Sayin' good morning to everybody in the Office . . . Must say &quot;Good Morning to you&quot; too!    Greets from Charlotte, NC, USA."
relief,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
relief,"school for a bit. glad jake got the day off"
happiness,"School. School. School.  today seems like it's going to be a great day!"
happiness,"School... haha well I hope Today is fun. I will post my regular updates during the day. Follow Me and Stay Updated!"
enthusiasm,"schoool time. not doing much this week.  about 20 more days of school and it's time for NYC!  can't wait for the last day of school."
happiness,"Score two days I get more food stamps good cause i want a safeway pizza"
surprise,"Scott's leaving now"
happiness,"Scratch that. Now we're watching 'marley and me'. Thinking I could stay awake better for this one."
surprise,"Screen On The Green started yesterday!!!ahhh! i missed it!"
relief,"screw it lemme click on a ticket. preetttty sure i can make it. might not make it for vermillion lies opening tho"
relief,"Season 2 of The Wire, done! Kinda weak compared to the first season but I expected that... Still good though  Season 3 here I come!"
surprise,"second song is coming along nicley"
happiness,"See No Evil starring WWE wrestler Kane. You should watch it"
surprise,"See you October! Love the new book, when's the next one out?"
happiness,"See you on may 16!!"
relief,"Seeing 'Love at the Club' actually made me"
happiness,"Seeing my friends and doing coursework  I have the weekend off work so I am happy!"
happiness,"seeing Star Trek tonight! Super stoked."
surprise,"seems to have disappeared out of my life"
happiness,"seen loads of new photos and stuff of new moon and cant wait  lol (L) Taylor lautner lol   takes his shirt off 3 times yum =]... lol"
relief,"seen mi abueltia at the hospital... she's doing good!"
relief,"seen that!  hopefully ebay replacement  will work for you!  but take it to bits anyway! lol"
surprise,"Select Yums tees on sale! Bird Walk and SODMG are sold out though"
happiness,"selena's mom congratulations' have a nice day"
happiness,"Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day"
relief,"sending love, blessings &amp; healing thoughts to you &amp; family  peace"
happiness,"Senior ball was hella fun!!!  good night!!!"
happiness,"seniors done  5 more days!! woohoo!! going out for the night."
surprise,"Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!"
enthusiasm,"Sent Twitterville 1.2 off to Apple for review  More screenshots etc will be released later this week."
happiness,"Separate desks, computers, and sides of the room with short dividers...but, we're thinking we need them to extend to the ceiling"
happiness,"serio barroca?? parabens!!!!!!! May the 4th be with you!"
surprise,"seriously underrated.. 'porridge', the best breakfast in the world... ever. doesn't need to be gloopy, as long as it is made just right"
surprise,"seriously?? link plzz"
happiness,"seriously. increasingly good nights. stoked on life! couldn't be happier  #goodnight"
relief,"Setting up bookmarks on my new Blackberry Curve. Now anyone from work can get ahold of me at anytime!"
happiness,"Shakti's celebrating her 4th Birthday today!"
relief,"shattered! PWG botched his hybrid dolphin shirt order and sent him xl"
relief,"She actually posted again to say that it was the 2nd and not the 4th, so nevermind."
happiness,"She does especially Pink ones LOL  What beautiful creatures they are!"
surprise,"She does!"
happiness,"She got it , ohh baby she got it.SINGAPORE I'm going to rock your city"
happiness,"She has an awsome voice. Bored nothin to do i should really consider  going back to school yeah right i'd rather cry of boredom  forever"
happiness,"she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no"
happiness,"she is only 2 years and she's the funniest thing when she is dancing! she's sooo happyyyy!"
surprise,"she is that's why she never speaks to me in college i think  .....i might just stick to unzela...if hashim dosnt shoot me"
happiness,"she made my sister cry too hahah. bless her.  i hope she can do it again."
relief,"She must be able to tell we're reprobates, despite your endorsement. She sounds pretty smart!"
relief,"Sheesh. No crochet? BAH and humbug. And sleep? Um, I suppose I will someday"
surprise,"shes must be a truly amazing woman for having a phenomenal son.."
happiness,"Shhhweeeet-jay-z, bros back from from prom"
surprise,"Ship. I'm stuck."
surprise,"shocking isnt it.. hmm... we will stop it.."
happiness,"Shoping till you drop david..haha..enjoy your day"
happiness,"Shopping day.. headin to central chidlom and siam"
relief,"shopping is therapuetic and i'm all about bettering myself... i need financing for my therapy however"
enthusiasm,"shopping tomorrow? I think yes"
happiness,"Shopping with  beckyyy . Going to starbucks in a minute."
happiness,"Shopping, grandparents, dinner with the bf  woop"
happiness,"short work week for me"
relief,"should be coming out of hospital today"
surprise,"should be me"
relief,"should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis..."
surprise,"Should I say goodnight or good morning?"
relief,"should updatd her twitter"
enthusiasm,"Shouldn't sit weirdly at the pc, I know Im going to hit the deck once I get up"
happiness,"shout out to Sanjeev! thank you for being my first follower  on twitter."
happiness,"SHOW ME SHOW ME!!!"
happiness,"show time baby! bye bye for now Tweeters"
happiness,"SICK! I'm totally getting GH5!! Too bad you guys didn't get to play in Boston"
surprise,"sickkkkk.  GET ME OUT OF THIS HOUSE! need to get active. whats going down? Celina havin a party? hit me uhpp!"
enthusiasm,"Sigh"
surprise,"sikkkeee!!! I getting bose headphones for $1 today"
happiness,"silly wendy. You know I don't speak French  just a few more hours to study before this ride begins!"
happiness,"silly you are right here with me"
happiness,"since I'm reading the Twilight series and watching Underworld today, I gotta say...perfect pic for my day"
happiness,"Singing along to MyChem."
happiness,"sittin at home watchin monster in-law waitin for pizza.. yum yum"
happiness,"Sittin at home, hellllllllsssssss yeah   Got the girrrrrl, the boysssss &amp; 2 mangy cats, this is a good time in my life.  Goodnight twitter"
happiness,"sittin by the fire...yes!"
relief,"sitting at home cuz my plans for tonight cancled  but they are on for tomo so that makes me happy  ctc or txt me!"
relief,"sitting at home doing nothing. gonna be like this all weekend"
happiness,"Sitting at the Audi Joburg fashion week casting. So many lanky people in one place! Almost 100. Lol. Good luck to everyone  xx"
relief,"Sitting down for a nice English breakfast. The one meal they do right"
relief,"Sitting in a shadow of the tree in the heart of the city listening to Panic!..waiting for the bus  thanks,wind,for being so pleasant a ..."
happiness,"Sitting in Gatwick- going home for a week! cant wait to see family"
surprise,"Sitting next to a man with a Kindle II...I don't know if I've ever been this jealous"
happiness,"sitting on chloes little trike thingo its a girraffe  ill most probobly get yelled at with in the next minute or so! ohhh well"
relief,"Sitting on my sunny balcony and learning for the Dutch exam"
happiness,"Sitting outside with my laptop  Its kinda nice"
happiness,"Six feet under theme is on jjj"
relief,"Six Flags this weekend? Sounds right!"
happiness,"Skipping school like all the cool kids do"
happiness,"skipping school w/ carleigh today, both of us barley got an hr of sleep last nite. i got a new bby kitten! shes all black"
relief,"Sleeeeeeeepy.... I'm off... Goodnight twitterverse!"
happiness,"Sleeeep. Good day, nice night, comfy bed."
happiness,"sleep time  big/little lunch tomorrow at olive garden"
happiness,"Sleep....take two....this better work!"
surprise,"sleeping in was interupted by JACK-HAMMERS at 9am Damn! Universe says GET UP! But I was up intil 3am 'cause I thougth I'd be sleeping in"
relief,"Sleeping sounds too good, goodnight my babies, cuddlez for everyone"
surprise,"sleeping... would've been home sooner but we accidentally killed bambi on the way home"
relief,"Sleepy time..   happy mothers day all u momz"
surprise,"slept for almost 11 hours straight and still tired ! better not be getting sick"
relief,"Slept like a log last night, now I'm full of energy"
relief,"Slowly getting ready for work"
relief,"Smile. Everything worked out."
happiness,"Smith/Amherst mini-reunion last night was fun- how i miss the old days"
happiness,"Smooches to you as well, have a great day!"
relief,"SNL after party"
happiness,"SNL hosted by Justin Timberlake startssssssssssss NOW!!  WOOHOO!!"
surprise,"SNL w/ Justin Timberlake"
happiness,"SNL with Justin Timberlake!"
happiness,"snowbear has finally come out...congrats che and warren"
relief,"So apparently i left my front door wide open before going out to my show. With my and my moms laptops on the coffee table. Love my area"
happiness,"so bryan was at the sweet 15 and i didnt think we were gonna talk but towards the end of the night we talked"
happiness,"so carlie came over and she fell asleep on me"
happiness,"so cool to hear you guys on 104.5! and i can't believe you in were cherry hill a few weeks ago and i missed it  come back"
surprise,"so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry"
surprise,"so early??"
happiness,"so excited for you and Paris ooh lala  i look forward to knowing you a long long time lovely ! hugs n kisses g"
happiness,"So far (with the exception of the rain), my morning is Great.  But I won't let it dampen my day"
relief,"So far, so good. It's still early, though!"
relief,"So finally.. It's raining in Delhi"
surprise,"So fresh n clean"
surprise,"So glad I'm finally done with finals!"
surprise,"So glad its friday! Only 1 week of schol left.  im glad its almost summer though."
happiness,"so glad, I hope yall make it back down near New Orleans"
happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
happiness,"so happy its friday...not so happy about this rain"
happiness,"So happy that it's FINALLY May!    The Indy 500.  Was there for the horrors of 1973, yet I still remain held captive by Indy's spirit..."
happiness,"So happy you came and said hi! Twas very nice to meet you indeed  Thanks so much for coming over and talking to me"
happiness,"so how is the most wonderful mommy in the world doing?"
happiness,"So I cannot find my poetry book. It wasn't at my dad's and I'm about to tear up my room looking for it. It I don't, I'm gonna be sad"
happiness,"So I get up early and I feel good about the day. I walk to work and I'm feeling alright. But guess what... I don't work today."
happiness,"So I got up, went outside planted a few flowers and watched a lee evans DVD. Who knew bank holidays were so fun"
relief,"so I slept in a little...well a lot. whooops"
relief,"so i'll excuse your love for the Cavs and the west, even though I don't share it!"
surprise,"so im dogsitting at my friends house and her cleaning lady came this morning. and she told me i looked like i was 18.  man. growing younge"
happiness,"so it went well.  Andrea"
surprise,"So it's Friday... I have to keep reminding myself since every day seems the same"
happiness,"so its been forever since I've tweet, just wanted to say thaty I love bill! and I hope ya'll have an amazing week"
happiness,"so looking forward to your new album"
relief,"so make the most of it  enjoy"
happiness,"So much for buying that awesome new phone from sony ericsson  - I am now Berry'd like everyone else..."
happiness,"So much happier, despite my looming departure"
happiness,"So much news on more Android based devices - especially on T-Mobile. I'm all giddy and can't wait  (starts saving up) #android #tmobile"
enthusiasm,"So much to tell-Only blip is her immune system hasn't recovered-not yet a newborns. Give it 6 more months.  But that's nothing."
happiness,"so my son is not the only one!  that's really nice to know.  he really is good at being three. and dh will be late today"
relief,"So nice to go into the bathroom and not hear the sound of gently running water"
surprise,"So no video blogs anymore?"
happiness,"So proud of cg, took 5 yrs in the making to get that number 1 spot  gnight twitter bugs...time to read myself to sleep."
relief,"so ready to go home"
surprise,"So the movie was 3-D and really gooood"
surprise,"So theres this boy. Hes so cute. Hes got a six pack.  yum it was fun touchin it."
happiness,"so this my last week of school then finals yesss"
surprise,"so tired!"
happiness,"So ur moomie liked the Pandora? you can buy me one next lol"
surprise,"so wednesday my mom is making a huge special dinner &amp; whatnot to celebrate the new single, just so ya knoww"
surprise,"so what are your plans seeing it's a bank holiday there and raining, well it should be raining it's a bank holiday"
happiness,"So what does that make a queef"
surprise,"so what if i cried"
surprise,"So wish the Carlton game was on live  stupid channel 7 lol."
surprise,"so yeah...i guess i dont get company this weekend  so who wants to come hang out?"
happiness,"so you liked it. Glad to hear"
happiness,"So-so, thanks  I've uploaded a new campaign vid, will post the link in a few mins. how are you doing, babe??"
happiness,"So, I finally got my but on Twitter. Let's hope I make good use of this site"
enthusiasm,"So, I need to make a lot of money tomorrow"
happiness,"So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It's what you love, right? Why not go for it!"
surprise,"so....i'm guessing no BGN?"
surprise,"Sob! I can't believe I'm ending my work week at the chapter about what Augusten Burrough's father did to Ernie the guinea pig!"
happiness,"social was fun. Swam in the water in my boxers"
happiness,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June."
enthusiasm,"sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause"
surprise,"Some days you must look hard for that good thing."
surprise,"Some place where you have to be all boring? UGGGGGG"
happiness,"somebody smuggle me to sydney, i'll be your slave for eternity"
happiness,"somehow I am going to have to figure out how to come to Sydney one day"
happiness,"somehow i cant reply to your message LOL and yes i know  Thank youuu"
surprise,"Somehow my alarm became an hour fast and I came to realize it as I was leaving the house.. It feels good having an early start"
happiness,"Someone bring me milk for my cookies!"
happiness,"Someone just admitted to having a crush on me.. That's cool"
happiness,"someone take me to LA  I NEED TO SEE THE LEMON TREE"
surprise,"Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway"
happiness,"Sometimes after a long weekend, you just need good conversation. thanks bro"
enthusiasm,"Sometimes all it takes to solve our problems is a fresh morning!! Hope today is beautiful for you"
surprise,"Sometimes games are cruel because they're not real... like last night when I won $128,600 on Wheel of Fortune"
surprise,"Sometimes I could swear I really am insane."
relief,"Sometimes i feel pathetic going to bed so early. Oh well.  i TOTALLY get clam chowder tomorrow! =D"
surprise,"Sometimes I wish I had my own Prototype mentor."
happiness,"Soon my new job starts  I'm so happy!"
happiness,"Soon we are going to look at a cabaret, it's going to be fun!"
surprise,"sooo cloooseee"
relief,"sooo glad im home  floridia was fun!! back in ATL. time to sleep....then back up to work!!! constant grind."
happiness,"sooo pleased the sun is shining today! garden here I come"
happiness,"Sooo readyyy for the summerr babyyyy!!!!!!!!!"
surprise,"Sooo tired i cant believe its already dark outside i didnt even get to see the day"
happiness,"Soooo happy your back!"
happiness,"soooo jelous of you right now"
surprise,"sorry  you wouldn't believe how much feedback we got on that menu bar icon.  the next version will be a lot more subtle"
happiness,"sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit"
surprise,"sorry mo. we thought that u have to work tomorrow  we go to the casino together too :?)"
surprise,"sorry to hear that"
relief,"Sorry we couldn't get the projector working with the windoze laptop  but a ton of people came up afterwards and saw it live"
happiness,"Sorry, not meaning to complain, feeling rough and heat getting to me again tonight  Would love to be visiting India though"
surprise,"Sounds a bit Alan Partridge  A-ha! (Good morning, by the way)"
happiness,"sounds awesome.."
happiness,"sounds good to me  hahaha"
happiness,"Sounds good to me! No more cleaning cynics orders. Haha. Good night. Talk tomorrow."
happiness,"sounds good!! Can't wait"
happiness,"sounds good.  and yeah, I turn 21 tomorrow so I'll definitely be partying."
happiness,"SOunds goood!"
happiness,"Sounds great. I'm looking forward to it then"
happiness,"Sounds like a good time, very nice of you.  Did you see him, when he played at the Rio or Aladdin? I've seen him live, 3 times"
relief,"sounds like a great idea.  wish I could make it"
happiness,"Sounds like a nice relaxing afternoon. I have to mow the lawn and walk the dog"
happiness,"sounds like a perfect way to spend a sunday evening. Enjoy"
relief,"Sounds like a useful tip, I most certainly need some stability after this week"
happiness,"sounds like my kinda day"
happiness,"sounds like my town"
happiness,"sounds like the muffler bearings are going bad"
happiness,"Sounds like the very best sort of work then! Jenni seems lovely,so nice to hear that she is when meeting 'in the flesh' too!"
happiness,"sounds like you all had a great night . i'm glad it was successful"
surprise,"Sounds like you got a fan in Danstorce."
happiness,"sounds like you're having a great time"
happiness,"Sounds like you're in for a great day!  Enjoy"
happiness,"Sounds lovely, hope you have a great day"
happiness,"Sounds pretty cool. Great job man!"
happiness,"SPARKLY PEEN FOR THE WIN! It solves all of life's problems"
